ruby: warning: shebang line ending with \r may cause problems
===========================================
 DEPRECATION: The cocaine gem is deprecated. Please upgrade to terrapin. See https://github.com/thoughtbot/terrapin/ for further instructions. 
===========================================
/usr/local/lib/ruby/gems/2.6.0/gems/miro-0.4.0/lib/miro.rb:13: warning: Insecure world writable dir /home/rtanglao/.local in PATH, mode 040777
D, [2020-02-15T20:03:36.582942 #120] DEBUG -- : dominant_colour:lightsteelblue
D, [2020-02-15T20:03:37.043078 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-300-2475.jpg
D, [2020-02-15T20:03:37.043492 #120] DEBUG -- : dominant_colour:black
D, [2020-02-15T20:03:37.473705 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-375-0.jpg
D, [2020-02-15T20:03:37.474115 #120] DEBUG -- : dominant_colour:darkslategray
D, [2020-02-15T20:03:37.897609 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-450-2250.jpg
D, [2020-02-15T20:03:37.898448 #120] DEBUG -- : dominant_colour:black
D, [2020-02-15T20:03:38.401359 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-450-2925.jpg
D, [2020-02-15T20:03:38.401738 #120] DEBUG -- : dominant_colour:midnightblue
D, [2020-02-15T20:03:38.817740 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-525-1800.jpg
D, [2020-02-15T20:03:38.818262 #120] DEBUG -- : dominant_colour:saddlebrown
D, [2020-02-15T20:03:39.276768 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-750-150.jpg
D, [2020-02-15T20:03:39.277231 #120] DEBUG -- : dominant_colour:darkslategray
D, [2020-02-15T20:03:39.656588 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103339_49430438647_o.jpg-975-2025.jpg
D, [2020-02-15T20:03:39.656877 #120] DEBUG -- : dominant_colour:saddlebrown
D, [2020-02-15T20:03:40.047371 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-1425-375.jpg
D, [2020-02-15T20:03:40.047733 #120] DEBUG -- : dominant_colour:gray
D, [2020-02-15T20:03:40.527669 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-150-1275.jpg
D, [2020-02-15T20:03:40.528084 #120] DEBUG -- : dominant_colour:maroon
D, [2020-02-15T20:03:40.940608 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-1575-1500.jpg
D, [2020-02-15T20:03:40.940885 #120] DEBUG -- : dominant_colour:firebrick
D, [2020-02-15T20:03:41.360029 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-1650-150.jpg
D, [2020-02-15T20:03:41.360496 #120] DEBUG -- : dominant_colour:gray
D, [2020-02-15T20:03:41.752871 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-1650-75.jpg
D, [2020-02-15T20:03:41.753334 #120] DEBUG -- : dominant_colour:maroon
D, [2020-02-15T20:03:42.175282 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-1725-2700.jpg
D, [2020-02-15T20:03:42.175592 #120] DEBUG -- : dominant_colour:darkseagreen
D, [2020-02-15T20:03:42.568469 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-1800-0.jpg
D, [2020-02-15T20:03:42.568864 #120] DEBUG -- : dominant_colour:maroon
D, [2020-02-15T20:03:43.054835 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-1800-2850.jpg
D, [2020-02-15T20:03:43.055153 #120] DEBUG -- : dominant_colour:darkgray
D, [2020-02-15T20:03:43.488810 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-2100-1200.jpg
D, [2020-02-15T20:03:43.489114 #120] DEBUG -- : dominant_colour:saddlebrown
D, [2020-02-15T20:03:43.893750 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-2250-1350.jpg
D, [2020-02-15T20:03:43.894153 #120] DEBUG -- : dominant_colour:darkgray
D, [2020-02-15T20:03:44.322153 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-2250-2325.jpg
D, [2020-02-15T20:03:44.322473 #120] DEBUG -- : dominant_colour:firebrick
D, [2020-02-15T20:03:44.722292 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-2475-1650.jpg
D, [2020-02-15T20:03:44.722694 #120] DEBUG -- : dominant_colour:darkgray
D, [2020-02-15T20:03:45.156612 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-2550-675.jpg
D, [2020-02-15T20:03:45.156899 #120] DEBUG -- : dominant_colour:firebrick
D, [2020-02-15T20:03:45.552270 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-2775-1200.jpg
D, [2020-02-15T20:03:45.552612 #120] DEBUG -- : dominant_colour:firebrick
D, [2020-02-15T20:03:45.960763 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-2925-1125.jpg
D, [2020-02-15T20:03:45.961225 #120] DEBUG -- : dominant_colour:firebrick
D, [2020-02-15T20:03:46.371713 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-300-2625.jpg
D, [2020-02-15T20:03:46.372048 #120] DEBUG -- : dominant_colour:gray
D, [2020-02-15T20:03:46.755826 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-300-825.jpg
D, [2020-02-15T20:03:46.756144 #120] DEBUG -- : dominant_colour:maroon
D, [2020-02-15T20:03:47.168765 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-450-1050.jpg
D, [2020-02-15T20:03:47.169148 #120] DEBUG -- : dominant_colour:maroon
D, [2020-02-15T20:03:47.556275 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-450-300.jpg
D, [2020-02-15T20:03:47.556593 #120] DEBUG -- : dominant_colour:maroon
D, [2020-02-15T20:03:47.972267 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-675-1125.jpg
D, [2020-02-15T20:03:47.972622 #120] DEBUG -- : dominant_colour:maroon
D, [2020-02-15T20:03:48.393364 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-675-1800.jpg
D, [2020-02-15T20:03:48.393781 #120] DEBUG -- : dominant_colour:maroon
D, [2020-02-15T20:03:48.788115 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-675-2025.jpg
D, [2020-02-15T20:03:48.788461 #120] DEBUG -- : dominant_colour:maroon
D, [2020-02-15T20:03:49.193843 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-675-2400.jpg
D, [2020-02-15T20:03:49.194292 #120] DEBUG -- : dominant_colour:gray
D, [2020-02-15T20:03:49.599116 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-675-2700.jpg
D, [2020-02-15T20:03:49.600007 #120] DEBUG -- : dominant_colour:gray
D, [2020-02-15T20:03:50.028026 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-675-525.jpg
D, [2020-02-15T20:03:50.028458 #120] DEBUG -- : dominant_colour:maroon
D, [2020-02-15T20:03:50.462182 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-75-150.jpg
D, [2020-02-15T20:03:50.462613 #120] DEBUG -- : dominant_colour:maroon
D, [2020-02-15T20:03:50.851919 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-75-75.jpg
D, [2020-02-15T20:03:50.852350 #120] DEBUG -- : dominant_colour:dimgray
D, [2020-02-15T20:03:51.262382 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_103347_49429738593_o.jpg-900-2775.jpg
D, [2020-02-15T20:03:51.262859 #120] DEBUG -- : dominant_colour:gray
D, [2020-02-15T20:03:51.651263 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-0-1425.jpg
D, [2020-02-15T20:03:51.651554 #120] DEBUG -- : dominant_colour:gray
D, [2020-02-15T20:03:52.098284 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-0-150.jpg
D, [2020-02-15T20:03:52.098608 #120] DEBUG -- : dominant_colour:black
D, [2020-02-15T20:03:52.536654 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-1200-975.jpg
D, [2020-02-15T20:03:52.537092 #120] DEBUG -- : dominant_colour:black
D, [2020-02-15T20:03:52.952060 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-1425-1125.jpg
D, [2020-02-15T20:03:52.952527 #120] DEBUG -- : dominant_colour:black
D, [2020-02-15T20:03:53.366327 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-1500-2250.jpg
D, [2020-02-15T20:03:53.366768 #120] DEBUG -- : dominant_colour:dimgray
D, [2020-02-15T20:03:53.756768 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-1650-1500.jpg
D, [2020-02-15T20:03:53.757059 #120] DEBUG -- : dominant_colour:black
D, [2020-02-15T20:03:54.167583 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-1650-2400.jpg
D, [2020-02-15T20:03:54.168004 #120] DEBUG -- : dominant_colour:gray
D, [2020-02-15T20:03:54.564317 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-1650-300.jpg
D, [2020-02-15T20:03:54.564776 #120] DEBUG -- : dominant_colour:black
D, [2020-02-15T20:03:54.971785 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-1725-900.jpg
D, [2020-02-15T20:03:54.972111 #120] DEBUG -- : dominant_colour:black
D, [2020-02-15T20:03:55.380570 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-2025-1275.jpg
D, [2020-02-15T20:03:55.380922 #120] DEBUG -- : dominant_colour:black
D, [2020-02-15T20:03:55.775676 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-2175-525.jpg
D, [2020-02-15T20:03:55.776094 #120] DEBUG -- : dominant_colour:black
D, [2020-02-15T20:03:56.181913 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-2250-2475.jpg
D, [2020-02-15T20:03:56.182294 #120] DEBUG -- : dominant_colour:black
D, [2020-02-15T20:03:56.589359 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-225-225.jpg
D, [2020-02-15T20:03:56.589770 #120] DEBUG -- : dominant_colour:rosybrown
D, [2020-02-15T20:03:56.985621 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-2325-900.jpg
D, [2020-02-15T20:03:56.986011 #120] DEBUG -- : dominant_colour:black
D, [2020-02-15T20:03:57.430188 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-2475-825.jpg
D, [2020-02-15T20:03:57.430708 #120] DEBUG -- : dominant_colour:black
D, [2020-02-15T20:03:57.828640 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-2550-1575.jpg
D, [2020-02-15T20:03:57.829040 #120] DEBUG -- : dominant_colour:gray
D, [2020-02-15T20:03:58.257424 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-2625-225.jpg
D, [2020-02-15T20:03:58.257813 #120] DEBUG -- : dominant_colour:black
D, [2020-02-15T20:03:58.648514 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-2775-525.jpg
D, [2020-02-15T20:03:58.648899 #120] DEBUG -- : dominant_colour:silver
D, [2020-02-15T20:03:59.077498 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-300-300.jpg
D, [2020-02-15T20:03:59.077896 #120] DEBUG -- : dominant_colour:darkgray
D, [2020-02-15T20:03:59.491899 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-300-825.jpg
D, [2020-02-15T20:03:59.492341 #120] DEBUG -- : dominant_colour:midnightblue
D, [2020-02-15T20:03:59.897782 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-450-750.jpg
D, [2020-02-15T20:03:59.898171 #120] DEBUG -- : dominant_colour:midnightblue
D, [2020-02-15T20:04:00.311150 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-525-1725.jpg
D, [2020-02-15T20:04:00.311534 #120] DEBUG -- : dominant_colour:black
D, [2020-02-15T20:04:00.709004 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-750-450.jpg
D, [2020-02-15T20:04:00.709355 #120] DEBUG -- : dominant_colour:rosybrown
D, [2020-02-15T20:04:01.126653 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-75-525.jpg
D, [2020-02-15T20:04:01.127061 #120] DEBUG -- : dominant_colour:saddlebrown
D, [2020-02-15T20:04:01.529136 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-900-2775.jpg
D, [2020-02-15T20:04:01.529476 #120] DEBUG -- : dominant_colour:darkslategray
D, [2020-02-15T20:04:02.002899 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-975-0.jpg
D, [2020-02-15T20:04:02.003285 #120] DEBUG -- : dominant_colour:darkslategray
D, [2020-02-15T20:04:02.421248 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_111707_49430219476_o.jpg-975-2925.jpg
D, [2020-02-15T20:04:02.421561 #120] DEBUG -- : dominant_colour:darkslategray
D, [2020-02-15T20:04:02.836489 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120138_49429742848_o.jpg-0-825.jpg
D, [2020-02-15T20:04:02.836868 #120] DEBUG -- : dominant_colour:darkslategray
D, [2020-02-15T20:04:03.247019 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120138_49429742848_o.jpg-1125-1050.jpg
D, [2020-02-15T20:04:03.247506 #120] DEBUG -- : dominant_colour:gray
D, [2020-02-15T20:04:03.649354 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120138_49429742848_o.jpg-1200-1500.jpg
D, [2020-02-15T20:04:03.649754 #120] DEBUG -- : dominant_colour:black
D, [2020-02-15T20:04:04.093412 #120] DEBUG -- : file:/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120138_49429742848_o.jpg-1200-2925.jpg
D, [2020-02-15T20:04:04.093829 #120] DEBUG -- : dominant_colour:black
