file,colourname,hexcolour
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120806_49430223146_o.jpg-1950-2850.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120806_49430223146_o.jpg-2100-75.jpg,midnightblue,#191970
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120806_49430223146_o.jpg-2175-1425.jpg,gray,#808080
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120806_49430223146_o.jpg-2175-1800.jpg,rosybrown,#bc8f8f
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120806_49430223146_o.jpg-2475-2625.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120806_49430223146_o.jpg-2550-1800.jpg,midnightblue,#191970
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120806_49430223146_o.jpg-2625-600.jpg,midnightblue,#191970
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120806_49430223146_o.jpg-2700-300.jpg,silver,#cccccc
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120806_49430223146_o.jpg-2775-1050.jpg,midnightblue,#191970
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120806_49430223146_o.jpg-2850-300.jpg,silver,#cccccc
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120806_49430223146_o.jpg-675-750.jpg,dimgray,#696969
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120806_49430223146_o.jpg-750-1350.jpg,darkgray,#a9a9a9
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120806_49430223146_o.jpg-75-300.jpg,darkgray,#a9a9a9
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120806_49430223146_o.jpg-825-2250.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120806_49430223146_o.jpg-975-1050.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120806_49430223146_o.jpg-975-2400.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120811_49430444622_o.jpg-0-2925.jpg,darkslategray,#2f4f4f
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120811_49430444622_o.jpg-1125-1050.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120811_49430444622_o.jpg-1275-2325.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120811_49430444622_o.jpg-1275-2475.jpg,darkgray,#a9a9a9
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120811_49430444622_o.jpg-1275-2775.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120811_49430444622_o.jpg-1275-900.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120811_49430444622_o.jpg-1500-0.jpg,silver,#cccccc
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120811_49430444622_o.jpg-1500-975.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120811_49430444622_o.jpg-1575-1950.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120811_49430444622_o.jpg-1725-2250.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120811_49430444622_o.jpg-1800-1200.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120811_49430444622_o.jpg-1800-225.jpg,silver,#cccccc
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120811_49430444622_o.jpg-1875-1950.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120811_49430444622_o.jpg-2100-1575.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120811_49430444622_o.jpg-2100-75.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120811_49430444622_o.jpg-2400-1350.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120811_49430444622_o.jpg-2550-600.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120811_49430444622_o.jpg-2850-1050.jpg,silver,#cccccc
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120811_49430444622_o.jpg-2850-2925.jpg,black,#000000
/home/rtanglao/GIT/rt-berlin-january-2020/75PX_BY_75PX_PATCHES/20200123_120811_49430444622_o.jpg-300-750.jpg,cadetblue,#5f9ea0
