file,width,length,max75x,max75y
/mnt/c/Users/rtang/Pictures/23-31JANUARY2020-BERLIN-ALL_HANDS/dsc_3119_49431202696_o.jpg,4608,3072,60,39
/mnt/c/Users/rtang/Pictures/23-31JANUARY2020-BERLIN-ALL_HANDS/dsc_3120_49430730068_o.jpg,4608,3072,60,39
/mnt/c/Users/rtang/Pictures/23-31JANUARY2020-BERLIN-ALL_HANDS/dsc_3121_49430732053_o.jpg,4608,3072,60,39
/mnt/c/Users/rtang/Pictures/23-31JANUARY2020-BERLIN-ALL_HANDS/dsc_3122_49431207636_o.jpg,4608,3072,60,39
/mnt/c/Users/rtang/Pictures/23-31JANUARY2020-BERLIN-ALL_HANDS/dsc_3123_49430734648_o.jpg,4608,3072,60,39
/mnt/c/Users/rtang/Pictures/23-31JANUARY2020-BERLIN-ALL_HANDS/dsc_3124_49431210641_o.jpg,4608,3072,60,39
/mnt/c/Users/rtang/Pictures/23-31JANUARY2020-BERLIN-ALL_HANDS/dsc_3125_49431212106_o.jpg,4608,3072,60,39
/mnt/c/Users/rtang/Pictures/23-31JANUARY2020-BERLIN-ALL_HANDS/dsc_3126_49431437512_o.jpg,4608,3072,60,39
/mnt/c/Users/rtang/Pictures/23-31JANUARY2020-BERLIN-ALL_HANDS/dsc_3127_49431216471_o.jpg,4608,3072,60,39
/mnt/c/Users/rtang/Pictures/23-31JANUARY2020-BERLIN-ALL_HANDS/dsc_3128_49431214911_o.jpg,4608,3072,60,39
/mnt/c/Users/rtang/Pictures/23-31JANUARY2020-BERLIN-ALL_HANDS/dsc_3129_49431441772_o.jpg,4608,3072,60,39
/mnt/c/Users/rtang/Pictures/23-31JANUARY2020-BERLIN-ALL_HANDS/dsc_3130_49431219586_o.jpg,4608,3072,60,39
/mnt/c/Users/rtang/Pictures/23-31JANUARY2020-BERLIN-ALL_HANDS/dsc_3131_49431445232_o.jpg,4608,3072,60,39
/mnt/c/Users/rtang/Pictures/23-31JANUARY2020-BERLIN-ALL_HANDS/dsc_3132_49430748228_o.jpg,4608,3072,60,39
/mnt/c/Users/rtang/Pictures/23-31JANUARY2020-BERLIN-ALL_HANDS/dsc_3133_49430749803_o.jpg,4608,3072,60,39
/mnt/c/Users/rtang/Pictures/23-31JANUARY2020-BERLIN-ALL_HANDS/dsc_3134_49431225916_o.jpg,4608,3072,60,39
/mnt/c/Users/rtang/Pictures/23-31JANUARY2020-BERLIN-ALL_HANDS/dsc_3135_49431451022_o.jpg,4608,3072,60,39
